"","ENSEMBL","annotation","count"
"296","ENSG00000007944","Promoter (1-2kb)",1
"297","ENSG00000007968","Distal Intergenic",1
"298","ENSG00000007968","Intron",1
"299","ENSG00000008056","Downstream (<1kb)",1
"300","ENSG00000008083","Distal Intergenic",10
"301","ENSG00000008083","Intron",6
"302","ENSG00000008083","Promoter (<=1kb)",3
"303","ENSG00000008086","Distal Intergenic",2
"304","ENSG00000008118","Distal Intergenic",4
"305","ENSG00000008128","3' UTR",1
"306","ENSG00000008128","Intron",1
"307","ENSG00000008130","Exon",1
"308","ENSG00000008130","Intron",6
"309","ENSG00000008130","Promoter (2-3kb)",2
"310","ENSG00000008226","Intron",5
"311","ENSG00000008226","Promoter (<=1kb)",2
"312","ENSG00000008256","Distal Intergenic",2
"313","ENSG00000008256","Intron",12
"314","ENSG00000008277","Intron",2
"315","ENSG00000008282","Distal Intergenic",4
"316","ENSG00000008283","3' UTR",1
"317","ENSG00000008294","Distal Intergenic",1
"318","ENSG00000008294","Intron",10
"319","ENSG00000008300","Intron",1
"320","ENSG00000008300","Promoter (2-3kb)",2
"321","ENSG00000008323","Distal Intergenic",5
"322","ENSG00000008323","Intron",1
"323","ENSG00000008323","Promoter (1-2kb)",1
"324","ENSG00000008382","Exon",1
"325","ENSG00000008394","Distal Intergenic",1
"326","ENSG00000008405","Distal Intergenic",4
"327","ENSG00000008405","Intron",2
"328","ENSG00000008438","Distal Intergenic",2
"329","ENSG00000008438","Promoter (2-3kb)",1
"330","ENSG00000008441","Distal Intergenic",1
"331","ENSG00000008441","Intron",10
"332","ENSG00000008513","Distal Intergenic",10
"333","ENSG00000008513","Intron",2
"334","ENSG00000008516","Promoter (<=1kb)",1
"335","ENSG00000008516","Promoter (2-3kb)",1
"336","ENSG00000008517","Distal Intergenic",1
"337","ENSG00000008517","Exon",1
"338","ENSG00000008517","Promoter (2-3kb)",1
"339","ENSG00000008710","Exon",2
"340","ENSG00000008710","Intron",1
"341","ENSG00000008710","Promoter (1-2kb)",1
"342","ENSG00000008710","Promoter (2-3kb)",1
"343","ENSG00000008853","Exon",2
"344","ENSG00000008869","Intron",4
"345","ENSG00000008988","Distal Intergenic",1
"346","ENSG00000009335","Distal Intergenic",3
"347","ENSG00000009335","Exon",1
"348","ENSG00000009335","Intron",2
"349","ENSG00000009335","Promoter (<=1kb)",1
"350","ENSG00000009335","Promoter (2-3kb)",1
"351","ENSG00000009413","Distal Intergenic",2
"352","ENSG00000009413","Intron",3
"353","ENSG00000009694","Intron",13
"354","ENSG00000009709","Distal Intergenic",6
"355","ENSG00000009709","Intron",3
"356","ENSG00000009709","Promoter (<=1kb)",1
"357","ENSG00000009724","Intron",1
"358","ENSG00000009765","Distal Intergenic",2
"359","ENSG00000009790","Intron",1
"360","ENSG00000009830","Intron",1
"361","ENSG00000009844","Distal Intergenic",2
"362","ENSG00000009844","Intron",1
"363","ENSG00000009950","Downstream (1-2kb)",1
"364","ENSG00000009954","Exon",1
"365","ENSG00000009954","Intron",2
"366","ENSG00000010017","Distal Intergenic",2
"367","ENSG00000010017","Promoter (<=1kb)",1
"368","ENSG00000010030","Intron",3
"369","ENSG00000010072","Intron",1
"370","ENSG00000010165","Distal Intergenic",1
"371","ENSG00000010219","Intron",1
"372","ENSG00000010244","Distal Intergenic",3
"373","ENSG00000010244","Exon",1
"374","ENSG00000010244","Intron",2
"375","ENSG00000010270","Distal Intergenic",6
"376","ENSG00000010270","Intron",1
"377","ENSG00000010270","Promoter (1-2kb)",1
"378","ENSG00000010278","3' UTR",1
"379","ENSG00000010278","Distal Intergenic",7
"380","ENSG00000010278","Exon",1
"381","ENSG00000010278","Intron",9
"382","ENSG00000010282","3' UTR",1
"383","ENSG00000010282","Promoter (<=1kb)",1
"384","ENSG00000010292","Intron",3
"385","ENSG00000010292","Promoter (2-3kb)",1
"386","ENSG00000010295","Promoter (1-2kb)",1
"387","ENSG00000010318","Exon",1
"388","ENSG00000010318","Intron",2
"389","ENSG00000010318","Promoter (<=1kb)",1
"390","ENSG00000010318","Promoter (2-3kb)",2
"391","ENSG00000010319","Exon",2
"392","ENSG00000010322","Exon",1
"393","ENSG00000010322","Intron",2
"394","ENSG00000010327","Exon",1
"395","ENSG00000010327","Intron",2
"396","ENSG00000010361","Promoter (<=1kb)",1
"397","ENSG00000010404","Distal Intergenic",1
"398","ENSG00000010438","Distal Intergenic",3
"399","ENSG00000010438","Intron",6
"400","ENSG00000010438","Promoter (<=1kb)",1
"401","ENSG00000010539","Promoter (1-2kb)",1
"402","ENSG00000010610","Distal Intergenic",1
"403","ENSG00000010610","Intron",4
"404","ENSG00000010610","Promoter (1-2kb)",1
"405","ENSG00000010610","Promoter (2-3kb)",1
"406","ENSG00000010626","Exon",1
"407","ENSG00000010671","Intron",1
"408","ENSG00000010671","Promoter (1-2kb)",1
"409","ENSG00000010704","Promoter (<=1kb)",1
"410","ENSG00000010803","Distal Intergenic",2
"411","ENSG00000010803","Intron",5
"412","ENSG00000010810","Distal Intergenic",5
"413","ENSG00000010810","Intron",5
"414","ENSG00000010810","Promoter (1-2kb)",1
"415","ENSG00000010810","Promoter (2-3kb)",1
"416","ENSG00000010932","Exon",1
"417","ENSG00000010932","Intron",1
"418","ENSG00000010932","Promoter (<=1kb)",1
"419","ENSG00000011007","Distal Intergenic",2
"420","ENSG00000011007","Promoter (<=1kb)",1
"421","ENSG00000011009","Promoter (<=1kb)",1
"422","ENSG00000011009","Promoter (2-3kb)",1
"423","ENSG00000011021","Exon",1
"424","ENSG00000011021","Promoter (1-2kb)",1
"425","ENSG00000011028","Exon",1
"426","ENSG00000011028","Intron",7
"427","ENSG00000011083","Distal Intergenic",1
"428","ENSG00000011083","Exon",2
"429","ENSG00000011083","Intron",2
