"","ENSEMBL","annotation","count"
"213","ENSG00000005471","Promoter (<=1kb)",1
"214","ENSG00000005471","Promoter (1-2kb)",1
"215","ENSG00000005483","Intron",4
"216","ENSG00000005483","Promoter (<=1kb)",1
"217","ENSG00000005483","Promoter (1-2kb)",1
"218","ENSG00000005486","Promoter (<=1kb)",1
"219","ENSG00000005513","Distal Intergenic",1
"220","ENSG00000005700","Distal Intergenic",10
"221","ENSG00000005700","Intron",2
"222","ENSG00000005700","Promoter (<=1kb)",1
"223","ENSG00000005700","Promoter (2-3kb)",1
"224","ENSG00000005801","Promoter (<=1kb)",1
"225","ENSG00000005810","Distal Intergenic",9
"226","ENSG00000005810","Exon",1
"227","ENSG00000005810","Intron",8
"228","ENSG00000005810","Promoter (<=1kb)",1
"229","ENSG00000005810","Promoter (1-2kb)",1
"230","ENSG00000005810","Promoter (2-3kb)",1
"231","ENSG00000005812","Intron",2
"232","ENSG00000005812","Promoter (<=1kb)",1
"233","ENSG00000005844","Distal Intergenic",1
"234","ENSG00000005844","Promoter (<=1kb)",1
"235","ENSG00000005844","Promoter (2-3kb)",1
"236","ENSG00000005882","Exon",1
"237","ENSG00000005882","Promoter (<=1kb)",2
"238","ENSG00000005889","Distal Intergenic",4
"239","ENSG00000005889","Intron",1
"240","ENSG00000005889","Promoter (<=1kb)",1
"241","ENSG00000005889","Promoter (1-2kb)",2
"242","ENSG00000005889","Promoter (2-3kb)",2
"243","ENSG00000005893","Distal Intergenic",4
"244","ENSG00000005893","Intron",3
"245","ENSG00000005893","Promoter (<=1kb)",1
"246","ENSG00000005961","Exon",2
"247","ENSG00000005961","Intron",1
"248","ENSG00000005981","Distal Intergenic",4
"249","ENSG00000005981","Exon",1
"250","ENSG00000005981","Intron",7
"251","ENSG00000006007","Promoter (<=1kb)",1
"252","ENSG00000006015","Exon",1
"253","ENSG00000006015","Promoter (<=1kb)",1
"254","ENSG00000006025","Distal Intergenic",1
"255","ENSG00000006025","Promoter (<=1kb)",1
"256","ENSG00000006042","Distal Intergenic",1
"257","ENSG00000006042","Intron",1
"258","ENSG00000006047","Promoter (1-2kb)",1
"259","ENSG00000006059","Distal Intergenic",2
"260","ENSG00000006062","Distal Intergenic",4
"261","ENSG00000006062","Intron",7
"262","ENSG00000006062","Promoter (<=1kb)",1
"263","ENSG00000006062","Promoter (1-2kb)",1
"264","ENSG00000006071","Exon",1
"265","ENSG00000006071","Intron",1
"266","ENSG00000006116","Intron",4
"267","ENSG00000006116","Promoter (2-3kb)",1
"268","ENSG00000006118","Promoter (<=1kb)",1
"269","ENSG00000006125","Promoter (<=1kb)",2
"270","ENSG00000006128","Distal Intergenic",4
"271","ENSG00000006194","Promoter (<=1kb)",1
"272","ENSG00000006210","Distal Intergenic",1
"273","ENSG00000006210","Intron",1
"274","ENSG00000006210","Promoter (<=1kb)",1
"275","ENSG00000006282","Promoter (<=1kb)",2
"276","ENSG00000006283","Promoter (<=1kb)",1
"277","ENSG00000006327","Promoter (<=1kb)",1
"278","ENSG00000006377","Promoter (<=1kb)",1
"279","ENSG00000006432","Distal Intergenic",3
"280","ENSG00000006432","Intron",2
"281","ENSG00000006432","Promoter (<=1kb)",1
"282","ENSG00000006432","Promoter (1-2kb)",1
"283","ENSG00000006432","Promoter (2-3kb)",1
"284","ENSG00000006451","Intron",3
"285","ENSG00000006451","Promoter (<=1kb)",1
"286","ENSG00000006453","Distal Intergenic",2
"287","ENSG00000006453","Promoter (<=1kb)",1
"288","ENSG00000006453","Promoter (1-2kb)",1
"289","ENSG00000006459","Promoter (<=1kb)",1
"290","ENSG00000006468","Distal Intergenic",9
"291","ENSG00000006468","Intron",5
"292","ENSG00000006468","Promoter (<=1kb)",1
"293","ENSG00000006530","Distal Intergenic",2
"294","ENSG00000006530","Exon",1
"295","ENSG00000006530","Intron",3
"296","ENSG00000006530","Promoter (<=1kb)",1
"297","ENSG00000006555","Promoter (<=1kb)",1
"298","ENSG00000006555","Promoter (1-2kb)",1
"299","ENSG00000006576","3' UTR",1
"300","ENSG00000006576","Intron",4
"301","ENSG00000006576","Promoter (<=1kb)",1
"302","ENSG00000006576","Promoter (2-3kb)",1
"303","ENSG00000006607","Exon",1
"304","ENSG00000006607","Intron",2
"305","ENSG00000006607","Promoter (<=1kb)",1
"306","ENSG00000006607","Promoter (2-3kb)",1
"307","ENSG00000006611","Intron",1
"308","ENSG00000006625","Intron",1
"309","ENSG00000006625","Promoter (<=1kb)",1
"310","ENSG00000006634","Intron",1
"311","ENSG00000006634","Promoter (<=1kb)",1
"312","ENSG00000006638","Promoter (1-2kb)",1
"313","ENSG00000006652","Distal Intergenic",3
"314","ENSG00000006652","Promoter (<=1kb)",3
"315","ENSG00000006652","Promoter (1-2kb)",1
"316","ENSG00000006652","Promoter (2-3kb)",1
"317","ENSG00000006659","Promoter (<=1kb)",1
"318","ENSG00000006659","Promoter (2-3kb)",1
"319","ENSG00000006712","Promoter (<=1kb)",1
"320","ENSG00000006715","Distal Intergenic",1
"321","ENSG00000006715","Intron",3
"322","ENSG00000006715","Promoter (<=1kb)",1
"323","ENSG00000006715","Promoter (1-2kb)",1
"324","ENSG00000006740","Intron",2
"325","ENSG00000006740","Promoter (<=1kb)",1
"326","ENSG00000006744","Distal Intergenic",4
"327","ENSG00000006744","Intron",2
"328","ENSG00000006744","Promoter (<=1kb)",2
"329","ENSG00000006747","Distal Intergenic",5
"330","ENSG00000006747","Exon",1
"331","ENSG00000006747","Intron",6
"332","ENSG00000006747","Promoter (<=1kb)",1
"333","ENSG00000006747","Promoter (2-3kb)",1
"334","ENSG00000006756","Distal Intergenic",2
"335","ENSG00000006756","Promoter (<=1kb)",1
"336","ENSG00000006757","Distal Intergenic",10
"337","ENSG00000006757","Promoter (<=1kb)",1
"338","ENSG00000006757","Promoter (2-3kb)",1
"339","ENSG00000006788","Distal Intergenic",4
"340","ENSG00000006788","Exon",2
"341","ENSG00000006831","Promoter (<=1kb)",1
